1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,,26%,19%,7%,7%,32%,1%,8%,21.05,18.02,26.67,6.19,4.32,5.65,13.33,,,,,,,
DEVELOPMENT,DATA AS OF,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,Total,Trash (tons/day),MGP (tons/day),Cardboard (tons/day),Paper (tons/day),Organics (tons/day),E-Waste (tons/day),Textiles (tons/day),Trash (CY/day),MGP (CY/day),Cardboard (CY/day),Paper  (CY/day),Organics (CY/day),E-Waste (CY/day),Textiles (CY/day),Trash (Gallons),MGP (Gallons),Cardboard (Gallons),Paper(Gallons),Organics (Gallons),E-Waste (Gallons),Textiles (Gallons)
45 ALLEN STREET,1/1/19,NY005011000,265,100,380,312,NY005186,FEDERAL,TURNKEY,NEW CONST,,107,107,537.5,5.02,,237,237,46,0.442,1,1,2,14,39609,0.91,39609,0.91,8031,950162,0.2028,260,4290021,7981,687,GRAND ST,ALLEN ST,HESTER ST,ELDRIDGE ST,MANHATTAN,3,7,26,65,1,7/31/74,,,,,0.2675,0.06955,0.0132145,0.000925015,6.47511E-05,2.07203E-05,2.07203E-07,1.65763E-08,1.4640275,0.23812529,0.02467015,0.000400809,8.95119E-05,1.1707E-06,2.20962E-07,295.6954903,48.09511732,4.982728886,0.080952997,0.018079067,0.000236451,4.46285E-05
572 WARREN STREET,1/1/19,NY005011630,196,163,307,272,NY005103,FEDERAL,TURNKEY,NEW CONST,,200,200,815,4.08,,375,375,84,0.42,1,1,2,6,81700,1.88,81700,1.88,28530,1726301,0.3492,199,5984598,7116,536,WARREN ST,BALTIC ST,THIRD AVE,FOURTH AVE,BROOKLYN,6,7,25,52,33,8/31/72,,,,,0.5,0.13,0.0247,0.001729,0.00012103,3.87296E-05,3.87296E-07,3.09837E-08,2.7365,0.445094,0.04611243,0.000749176,0.000167312,2.18822E-06,4.13012E-07,552.701851,89.89741556,9.313511937,0.151314013,0.033792648,0.000441964,8.34178E-05
830 AMSTERDAM AVENUE,1/1/19,NY005010820,150,82,258,258,NY005059,FEDERAL,CONVENTIONAL,NEW CONST,,158,159,724,4.58,,351,351,63,0.404,1,0,1,20,28690,0.66,28690,0.66,7750,1375740,0.2701,532,3631814,4992,492,W 101ST ST,AMSTERDAM AVE,W 100TH ST,,MANHATTAN,7,10,30,69,7,8/31/65,,,,,0.395,0.1027,0.019513,0.00136591,9.56137E-05,3.05964E-05,3.05964E-07,2.44771E-08,2.161835,0.35162426,0.03642882,0.000591849,0.000132176,1.7287E-06,3.2628E-07,436.6344623,71.01895829,7.35767443,0.11953807,0.026696192,0.000349152,6.59E-05
ADAMS,1/1/19,NY005001180,118,118,248,248,NY005049,FEDERAL,CONVENTIONAL,NEW CONST,,924,925,4306,4.66,,2310,2310,335,0.364,7,0,7,15-21,408888,9.39,383068,8.79,56283,8181502,0.1376,246,17878818,4149,497,WESTCHESTER AVE,UNION AVE,E 152ND ST,,BRONX,1,15,29,84,17,8/31/64,,,,,2.31,0.6006,0.114114,0.00798798,0.000559159,0.000178931,1.78931E-06,1.43145E-07,12.64263,2.05633428,0.213039427,0.003461192,0.000772981,1.01096E-05,1.90812E-06,2553.482552,415.3260599,43.02842515,0.699070739,0.156122034,0.002041874,0.00038539
ALBANY,1/1/19,NY005010310,31,31,524,524,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,,823,829,3777.5,4.59,,1886,1886,267,0.327,6,0,6,14,388389,8.92,388389,8.92,58455,7082630,0.1505,211,8951000,2356,565,ALBANY AVE,SAINT MARKS AVE,TROY AVE,PARK PL,BROOKLYN,8,9,25,56,36,10/14/50,1978/02/01-ATP 2,,,,2.0575,0.53495,0.1016405,0.007114835,0.000498038,0.000159372,1.59372E-06,1.27498E-07,11.2606975,1.83156181,0.189752649,0.003082858,0.000688488,9.00454E-06,1.69955E-06,2274.368117,369.927865,38.32510162,0.622657163,0.139056747,0.001818682,0.000343264
ALBANY II,1/1/19,NY005010310,85,31,524,524,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,,400,400,1848,4.62,,985,985,130,0.331,3,0,3,13-14,214594,4.93,214594,4.93,26053,3249689,0.1214,200,4666000,2540,542,BERGEN ST,TROY AVE,ALBANY HOUSES,ALBANY AVE,BROOKLYN,8,9,25,56,36,2/7/57,1978/02/01-ATP 2,,,,1,0.26,0.0494,0.003458,0.00024206,7.74592E-05,7.74592E-07,6.19674E-08,5.473,0.890188,0.09222486,0.001498351,0.000334624,4.37644E-06,8.26025E-07,1105.403702,179.7948311,18.62702387,0.302628026,0.067585296,0.000883928,0.000166836
AMSTERDAM,1/1/19,NY005010220,22,22,530,530,NY005220A,FEDERAL,CONVENTIONAL,NEW CONST,,1084,1084,5129,4.73,,2270,2270,468,0.435,13,0,24,43629,446172,10.24,413534,9.49,100358,8233310,0.2249,222,12262000,2391,544,W 61ST ST,W 64TH ST,WEST END AVE,AMSTERDAM AVE,MANHATTAN,7,10,31,67,6,12/17/48,1978/07/01-ATP 3,,,,2.71,0.7046,0.133874,0.00937118,0.000655983,0.000209914,2.09914E-06,1.67932E-07,14.83183,2.41240948,0.249929371,0.004060532,0.00090683,1.18602E-05,2.23853E-06,2995.644032,487.2439923,50.4792347,0.82012195,0.183156152,0.002395445,0.000452124
AMSTERDAM ADDITION,1/1/19,NY005021870,187,22,453,453,NY005366,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,26,175,175,762.5,4.36,66,287,353,97,0.557,1,0,1,27,36154,0.83,36154,0.83,17562,1825587,0.4858,425,7053000,9250,510,W 64TH ST,W 65TH ST,AMSTERDAM AVE,WEST END AVE,MANHATTAN,7,10,31,67,6,1/31/74,,,,,0.4375,0.11375,0.0216125,0.001512875,0.000105901,3.38884E-05,3.38884E-07,2.71107E-08,2.3944375,0.38945725,0.040348376,0.000655529,0.000146398,1.91469E-06,3.61386E-07,483.6141196,78.66023861,8.149322945,0.132399761,0.029568567,0.000386719,7.29906E-05
ARMSTRONG I,1/1/19,NY005012100,210,210,325,325,NY005120,FEDERAL,CONVENTIONAL,NEW CONST,,369,371,1763.5,4.78,,977,977,143,0.39,11,1,58,38780,245481,5.64,245481,5.64,94311,4800020,0.3842,173,14648872,8129,581,CLIFTON PL,MARCY AVE,GATES AVE,BEDFORD AVE,BROOKLYN,3,8,25,"56, 57",36,5/31/73,,PARTIALLY,,,0.9225,0.23985,0.0455715,0.003190005,0.0002233,7.14561E-05,7.14561E-07,5.71649E-08,5.0488425,0.82119843,0.085077433,0.001382229,0.00030869,4.03727E-06,7.62008E-07,1019.734915,165.8607317,17.18342952,0.279174354,0.062347436,0.000815424,0.000153906
ARMSTRONG II,1/1/19,NY005012100,228,210,355,325,NY005116,FEDERAL,TURNKEY,NEW CONST,,248,248,1276,5.15,,702,702,58,0.238,5,1,17,4,162118,3.72,162118,3.72,67372,3123424,0.4156,189,7802067,6114,600,GREENE AVE,GATES AVE,TOMPKINS AVE,MARCY AVE,BROOKLYN,3,8,25,56,36,10/31/74,,,,,0.62,0.1612,0.030628,0.00214396,0.000150077,4.80247E-05,4.80247E-07,3.84198E-08,3.39326,0.55191656,0.057179413,0.000928978,0.000207467,2.7134E-06,5.12135E-07,685.3502952,111.4727953,11.5487548,0.187629376,0.041902884,0.000548035,0.000103438
ASTORIA,1/1/19,NY005000260,26,26,517,517,NY005213I,FEDERAL,CONVENTIONAL,NEW CONST,,1104,1104,5607,5.08,,3032,3032,366,0.333,22,1,22,43623,1406832,32.3,1151484,26.43,173434,10826559,0.1233,94,14122000,2519,593,27TH AVE,8TH ST,HALLET'S COVE,EAST RIVER,QUEENS,1,12,12,37,22,11/9/51,1977/07/01-ATP 1,,,,2.76,0.7176,0.136344,0.00954408,0.000668086,0.000213787,2.13787E-06,1.7103E-07,15.10548,2.45691888,0.254540614,0.00413545,0.000923562,1.2079E-05,2.27983E-06,3050.914218,496.2337339,51.41058589,0.835253351,0.186535417,0.002439641,0.000460466
ATLANTIC TERMINAL SITE 4B,1/1/19,NY005011630,256,163,384,272,NY005189,FEDERAL,TURNKEY,NEW CONST,,299,300,1237.5,4.14,,582,582,121,0.41,1,0,1,31,88155,2.02,88155,2.02,15382,2464800,0.1745,288,10797972,8489,562,CLERMONT AVE,ATLANTIC AVE,CARLTON AVE,FULTON ST,BROOKLYN,2,8,25,57,35,4/30/76,,,,,0.7475,0.19435,0.0369265,0.002584855,0.00018094,5.79008E-05,5.79008E-07,4.63206E-08,4.0910675,0.66541553,0.068938083,0.001120018,0.000250131,3.27139E-06,6.17454E-07,826.2892672,134.3966363,13.92370035,0.226214449,0.050520009,0.000660736,0.00012471
AUDUBON,1/1/19,NY005010030,125,3,444,444,NY005365,FEDERAL,CONVENTIONAL,NEW CONST,,167,168,826.5,4.95,,446,446,64,0.388,1,0,1,20,27477,0.63,27477,0.63,9043,1585892,0.3291,708,2817000,3382,578,W 154TH ST,W 155TH ST,AMSTERDAM AVE,,MANHATTAN,9,13,30,71,7,4/30/62,1995/07/13-PTA,,,,0.4175,0.10855,0.0206245,0.001443715,0.00010106,3.23392E-05,3.23392E-07,2.58714E-08,2.2849775,0.37165349,0.038503879,0.000625562,0.000139705,1.82717E-06,3.44865E-07,461.5060456,75.06434199,7.776782467,0.126347201,0.028216861,0.00036904,6.96538E-05
BAILEY AVENUE-WEST 193RD STREET,1/1/19,NY005012020,202,197,311,311,NY005106,FEDERAL,CONVENTIONAL,NEW CONST,,232,233,976,4.21,,455,455,89,0.387,1,0,1,20,99606,2.29,99606,2.29,13621,1877893,0.1367,199,8091156,8173,493,BAILEY AVE,W 193RD ST,HEATH AVE,,BRONX,7,13,33,86,14,5/31/73,,,,,0.58,0.1508,0.028652,0.00200564,0.000140395,4.49263E-05,4.49263E-07,3.59411E-08,3.17434,0.51630904,0.053490419,0.000869044,0.000194082,2.53834E-06,4.79094E-07,641.1341472,104.281002,10.80367385,0.175524255,0.039199472,0.000512678,9.67646E-05
BAISLEY PARK,1/1/19,NY005010910,91,91,240,240,NY005038,FEDERAL,CONVENTIONAL,NEW CONST,,381,386,1779.5,4.67,,947,947,143,0.377,5,1,8,8,325713,7.48,325713,7.48,54504,3529560,0.1673,127,5856304,3246,548,LIRR,FOCH BLVD,116TH AVE,GUY BREWER BLVD,QUEENS,12,5,"10, 14",32,28,4/30/61,,,,,0.9525,0.24765,0.0470535,0.003293745,0.000230562,7.37799E-05,7.37799E-07,5.90239E-08,5.2130325,0.84790407,0.087844179,0.00142718,0.000318729,4.16856E-06,7.86789E-07,1052.897026,171.2545766,17.74224024,0.288253194,0.064374995,0.000841941,0.000158911
BARUCH,1/1/19,NY005010600,60,60,215,215,NY005012,FEDERAL,CONVENTIONAL,NEW CONST,,2193,2194,10240.5,4.67,,4872,4872,962,0.445,17,1,35,41833,1196115,27.46,1101503,25.29,160098,17784205,0.1338,177,36411155,3553,534,E HOUSTON ST,FDR DRIVE,DELANCEY ST,COLUMBIA ST,MANHATTAN,3,7,26,74,2,8/6/59,,,,,5.4825,1.42545,0.2708355,0.018958485,0.001327094,0.00042467,4.2467E-06,3.39736E-07,30.0057225,4.88045571,0.505622795,0.008214712,0.001834575,2.39939E-05,4.52868E-06,6060.375796,985.7251616,102.1226584,1.659158151,0.370536386,0.004846136,0.000914676
BARUCH HOUSES ADDITION,1/1/19,NY005010600,198,60,383,215,NY005111,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,197,197,646.5,3.28,,242,242,179,0.923,1,0,1,23,47204,1.08,47204,1.08,6149,1268931,0.1303,224,6622549,9907,302,COLUMBIA ST,DELANCEY ST,E HOUSTON ST,FDR DRIVE,MANHATTAN,3,7,26,74,2,4/30/77,,EXCLUSIVELY,,,0.4925,0.12805,0.0243295,0.001703065,0.000119215,3.81487E-05,3.81487E-07,3.05189E-08,2.6954525,0.43841759,0.045420744,0.000737938,0.000164802,2.1554E-06,4.06817E-07,544.4113232,88.54895432,9.173809258,0.149044303,0.033285758,0.000435335,8.21665E-05
BAY VIEW,1/1/19,NY005020920,92,92,670,670,NY005368,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,340,1609,1610,7310.5,4.54,871,2635,3506,620,0.388,23,2,26,8,1481844,34.02,1459244,33.5,228305,14262296,0.1541,103,19575470,2676,529,SEAVIEW AVE,E 102ND ST,ROCKAWAY PKWY,SHORE PKWY,BROOKLYN,18,8,19,59,46,6/7/56,,,,,4.0225,1.04585,0.1987115,0.013909805,0.000973686,0.00031158,3.1158E-06,2.49264E-07,22.0151425,3.58078123,0.370974499,0.006027119,0.001346024,1.76042E-05,3.32269E-06,4446.486391,723.2247081,74.92720353,1.217321233,0.271861853,0.003555601,0.000671096
BEACH 41ST STREET-BEACH CHANNEL DRIVE,1/1/19,NY005001650,165,165,282,282,NY005086,FEDERAL,CONVENTIONAL,NEW CONST,,712,712,3106,4.36,,1622,1622,233,0.335,4,1,7,13,580000,13.31,580000,13.31,66756,6385727,0.1151,122,24811000,7988,470,B 38TH ST,B 41ST ST,NORTON AVE,B CHANNEL DR,QUEENS,14,5,10,31,31,11/30/73,,,,,1.78,0.4628,0.087932,0.00615524,0.000430867,0.000137877,1.37877E-06,1.10302E-07,9.74194,1.58453464,0.164160251,0.002667065,0.00059563,7.79007E-06,1.47032E-06,1967.61859,320.0347994,33.1561025,0.538677886,0.120301827,0.001573392,0.000296967
BEDFORD-STUYVESANT REHAB,1/1/19,NY005010730,311,73,266,538,NY005255,FEDERAL,TURNKEY,REHAB,,84,85,381,4.54,,180,180,29,0.349,3,0,5,43561,26000,0.6,26000,0.6,18283,856611,0.7032,300,5219763,13316,579,THROOP AVE,VERNON AVE,MARCUS GARVEY BLVD,HART ST,BROOKLYN,3,8,18,54,36,5/31/83,,,YES,,0.21,0.0546,0.010374,0.00072618,5.08326E-05,1.62664E-05,1.62664E-07,1.30131E-08,1.14933,0.18693948,0.019367221,0.000314654,7.0271E-05,9.19053E-07,1.73465E-07,232.1347774,37.75691453,3.911675013,0.063551885,0.014192912,0.000185625,3.50355E-05
BELMONT-SUTTER AREA,1/1/19,NY005010460,345,46,761,761,NY005282,FEDERAL,TURNKEY,NEW CONST,,72,72,336,4.67,,189,189,21,0.292,3,0,8,3,80000,1.84,80000,1.84,24395,889912,0.3049,103,5373534,15993,577,BELMONT AVE,JEROME ST,SUTTER AVE,BARBEY ST,BROOKLYN,5,8,19,60,42,2/28/86,,,YES,,0.18,0.0468,0.008892,0.00062244,4.35708E-05,1.39427E-05,1.39427E-07,1.11541E-08,0.98514,0.16023384,0.016600475,0.000269703,6.02323E-05,7.8776E-07,1.48684E-07,198.9726664,32.3630696,3.352864297,0.054473045,0.012165353,0.000159107,3.00304E-05
BERRY,1/1/19,NY005000520,52,52,587,587,NY005271B,FEDERAL,CONVENTIONAL,NEW CONST,,506,506,2129,4.21,,944,944,220,0.439,8,1,17,6,604913,13.89,511178,11.74,77152,4520277,0.1275,68,5929376,2785,511,RICHMOND RD,DONGAN HILLS AVE,SEAVER AVE,JEFFERSON ST,STATEN ISLAND,2,11,24,63,50,10/27/50,1980/10/01-ATP 7,,,,1.265,0.3289,0.062491,0.00437437,0.000306206,9.79859E-05,9.79859E-07,7.83887E-08,6.923345,1.12608782,0.116664448,0.001895415,0.000423299,5.5362E-06,1.04492E-06,1398.335683,227.4404614,23.5631852,0.382824452,0.0854954,0.001118169,0.000211047
BERRY STREET-SOUTH 9TH STREET,1/1/19,NY005011310,357,131,777,777,NY005288,FEDERAL,TURNKEY,NEW CONST,,150,150,711,4.74,,370,370,44,0.299,4,0,15,43530,129228,2.97,129228,2.97,39559,1341343,0.3061,125,17062418,23999,627,SOUTH 9TH ST,BEDFORD & DIVISION AVES,SOUTH 11TH ST,WYTHE AVE,BROOKLYN,1,7,18,50,33,9/30/95,,,YES,,0.375,0.0975,0.018525,0.00129675,9.07725E-05,2.90472E-05,2.90472E-07,2.32378E-08,2.052375,0.3338205,0.034584323,0.000561882,0.000125484,1.64117E-06,3.09759E-07,414.5263883,67.42306167,6.985133953,0.11348551,0.025344486,0.000331473,6.25633E-05
BETHUNE GARDENS,1/1/19,NY005010030,160,3,271,271,NY005070,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,210,210,735,3.5,,260,260,185,0.885,1,0,1,22,63546,1.46,63546,1.46,7751,1393115,0.122,178,3785397,5007,337,W 156TH ST,SAINT NICHOLAS AVE,AMSTERDAM AVE,,MANHATTAN,12,13,30,71,7,3/31/67,,EXCLUSIVELY,,,0.525,0.1365,0.025935,0.00181545,0.000127082,4.06661E-05,4.06661E-07,3.25329E-08,2.873325,0.4673487,0.048418052,0.000786634,0.000175677,2.29763E-06,4.33663E-07,580.3369436,94.39228633,9.779187534,0.158879713,0.03548228,0.000464062,8.75887E-05
BLAND,1/1/19,NY005011860,54,186,519,519,NY005213K,FEDERAL,CONVENTIONAL,NEW CONST,,399,400,1850.5,4.64,,863,863,167,0.423,5,0,5,10,269800,6.19,245785,5.64,43237,3668503,0.1603,139,5925000,3205,585,ROOSEVELT AVE,PRINCE ST,COLLEGE POINT BLVD,LIRR,QUEENS,7,6,11,40,20,5/8/52,1977/07/01-ATP 1,,,,0.9975,0.25935,0.0492765,0.003449355,0.000241455,7.72656E-05,7.72656E-07,6.18124E-08,5.4593175,0.88796253,0.091994298,0.001494606,0.000333787,4.3655E-06,8.2396E-07,1102.640193,179.345344,18.58045631,0.301871456,0.067416333,0.000881718,0.000166418
BORINQUEN PLAZA I,1/1/19,NY005012430,243,243,353,353,NY005175,FEDERAL,TURNKEY,NEW CONST,,509,509,2359.5,4.64,,1123,1123,270,0.539,8,2,10,7,250875,5.76,250875,5.76,96902,4544080,0.3863,195,15625047,6556,539,MANHATTAN AVE,BOERUM ST,BUSHWICK AVE,VARET ST,BROOKLYN,1,7,18,53,34,2/28/75,,PARTIALLY,,,1.2725,0.33085,0.0628615,0.004400305,0.000308021,9.85668E-05,9.85668E-07,7.88535E-08,6.9643925,1.13276423,0.117356134,0.001906652,0.000425809,5.56903E-06,1.05112E-06,1406.626211,228.7889226,23.70288788,0.385094163,0.086002289,0.001124798,0.000212298
